cluster number,coefficient 0,coefficient 1,coefficient 2,coefficient 3
0,0.0132686,0.00355455,0.999906,-14050.2
1,0.482604,0.228615,0.845475,-13481.6
2,0.274187,0.128926,0.952995,-13936.7
3,0.850444,0.397657,-0.344404,1856.45
4,-0.228062,0.581046,0.781264,-18535
5,0.444681,-0.89567,0.0057401,4900.27
6,0.0200974,-0.000780288,0.999798,-14021.2
7,0.00424942,-0.0220773,0.999747,-13689.6
8,0.703494,0.334893,0.626851,-11111.3
9,0.918461,0.39519,-0.0159331,-2576.19
10,0.90317,0.429171,-0.00979756,-2867.72
11,0.538694,0.258649,0.801816,-12639
12,0.32587,0.157636,0.93218,-14145.7
13,0.813147,0.393831,0.42859,-8652.77
14,-0.289148,-0.139646,0.947044,-12559.1
15,0.555374,0.287679,0.780257,-12926
16,0.899494,0.432924,-0.0590609,-1896.3
17,-0.221491,-0.115945,0.968245,-13208.7
18,-0.0411153,0.0888877,0.995193,-15295.6
19,0.0126208,-0.00231592,0.999918,-13968.2
20,0.908316,0.417163,-0.0306015,-2451.69
21,0.855861,0.420289,0.301428,-6996.94
22,-0.345954,-0.142998,0.92729,-12101
23,-0.0120501,-0.0313628,0.999435,-13614.8
24,0.633638,0.288669,0.717755,-11337.7
25,0.369027,0.191966,0.909378,-14223.6
26,0.342602,-0.749708,-0.566182,11718.9
27,0.442048,-0.89698,0.00461115,10980.8
28,-0.381606,0.703332,0.59975,-17243.2
29,0.557327,0.270102,0.785131,-12903.9
30,0.0715453,-0.0990433,0.992508,-12828.9
31,0.00730213,0.0202248,0.999769,-14218.1
32,-0.0166694,-0.00902448,0.99982,-13954
33,-0.315028,-0.127218,0.940517,-12405.6
34,0.904667,0.426047,0.00783913,-3230.75
35,0.0119462,-0.00853476,0.999892,-14145.2
36,-0.911443,-0.404355,0.0759536,894.154
37,0.648857,0.292503,0.702443,-11126.2
38,-0.305774,-0.160402,0.938495,-12579.2
39,0.724603,0.352155,0.5924,-11115.7
40,0.450706,-0.890777,-0.0581347,11032
41,-0.218289,0.523681,0.823473,-17540.1
42,-0.220661,-0.109228,0.969215,-13297
43,0.0119076,0.00454343,0.999919,-14232.7
44,0.0120501,0.0244348,0.999629,-14414.6
45,-0.185259,0.373279,0.909033,-14654
46,-0.336377,-0.153495,0.929134,-12096.9
47,0.0264919,0.00312244,0.999644,-13994.2
48,0.43147,-0.89996,0.0624985,8310.43
49,0.427583,-0.903964,0.0045681,9178.14
50,0.57386,0.285744,0.767486,-12847.6
51,0.271297,0.230815,0.93441,-14693.1
52,-0.258858,0.590125,0.764686,-13870.2
53,0.667356,0.319227,0.672852,-10932.5
54,0.43349,-0.901158,-0.000819508,4358.74
55,-0.0312314,0.0703677,0.997032,-14507.9
56,0.445517,-0.891584,0.0811903,8272.48
57,-0.36269,0.679551,0.637705,-15791.9
58,-0.256992,0.535159,0.804711,-17018.2
59,-0.314354,0.52658,0.78987,-16858.7
60,0.628265,0.296385,0.719332,-11796.5
61,0.68549,0.326856,0.650591,-10907.5
62,-0.348173,-0.159736,0.92372,-11976.4
63,0.32703,-0.689879,-0.645847,12326
64,-0.0203893,0.0884944,0.995868,-15018.3
65,0.258051,0.0613242,0.964183,-13663.6
66,0.000955718,0.00761364,0.999971,-14096
67,0.681854,0.337078,0.649195,-11609.4
68,0.634276,0.304876,0.710453,-12060
69,-0.327622,0.719129,0.612795,-12240.7
70,0.651159,0.317314,0.689422,-12086.1
71,0.902114,0.431362,-0.010884,-3183.45
72,0.547039,0.279571,0.789043,-12484.5
73,0.616781,0.315959,0.720938,-12357.9
74,-0.451514,-0.210574,0.867061,-10964.6
75,0.43537,-0.900251,0.000767398,4153.59
76,-0.291562,-0.138458,0.946478,-12873.9
77,-0.313802,0.604803,0.731944,-14411.7
78,0.417853,-0.892492,-0.169874,10977.3
79,-0.176233,-0.10437,0.9788,-13243.6
80,0.353452,-0.665515,-0.65739,15769.3
81,0.432717,-0.901193,0.0246332,4121.6
82,0.730725,0.350538,0.585802,-10352.6
83,0.69048,0.308816,0.654118,-11284.5
84,0.671218,0.321344,0.667985,-11649
85,0.36744,-0.859804,-0.354578,13193.6
86,-0.250179,-0.121798,0.960508,-12954.3
87,0.321917,-0.654616,0.683993,-3458.93
88,0.428533,-0.901142,0.0655931,7623.15
89,-0.341707,0.660324,0.668737,-13295.6
90,0.442938,-0.891678,-0.0933595,6513.7
91,-0.376381,0.788899,0.485773,-14483.4
92,0.621809,0.30469,0.721469,-12214.2
93,-0.439596,0.79091,0.425696,-11305.4
94,0.901462,0.432781,-0.0081899,-2316.8
95,0.26632,-0.559449,-0.784914,16632.4
96,0.584257,0.290985,0.757609,-12626.1
97,0.414019,-0.909478,-0.0379171,6646.15
98,0.903291,0.42884,-0.0127314,-2997.43
99,0.110758,0.0578047,0.992165,-14341.6
100,0.427797,-0.903861,-0.00495934,7088.58
101,0.0167056,0.0123005,0.999785,-14104.2
102,0.582933,0.260492,0.769632,-12835.4
103,0.437881,-0.898962,-0.0112847,7220.97
104,0.611341,0.308097,0.728929,-12328.6
105,-0.60421,-0.789107,-0.110638,6701.2
106,-0.205273,-0.0758454,0.975761,-13359.7
